mol,geom,seconds
astex_1q1g,rmsd52-opt,19095.091
astex_1q1g,rmsd57-opt,18793.116
astex_1q1g,rmsd9-opt,18218.338
astex_1r1h,rmsd129-opt,43026.099
astex_1r1h,rmsd150-opt,36213.448
astex_1r1h,rmsd192-opt,32958.346
astex_1r1h,rmsd199-opt,33575.237
astex_1r1h,rmsd22-opt,34568.093
astex_1r1h,rmsd234-opt,31319.085
astex_1r1h,rmsd248-opt,31242.949
astex_1s3v,rmsd117-opt,47087.062
astex_1s3v,rmsd118-opt,41147.978
astex_1s3v,rmsd132-opt,40431.057
astex_1s3v,rmsd133-opt,40072.968
astex_1s3v,rmsd134-opt,39796.953
astex_1s3v,rmsd141-opt,39509.86
astex_1sj0,rmsd105-opt,60246.53
astex_1sj0,rmsd109-opt,56783.82
astex_1sj0,rmsd116-opt,53691.512
astex_1sj0,rmsd119-opt,54379.208
astex_1tt1,rmsd127-opt,10342.886
astex_1tt1,rmsd191-opt,11632.038
astex_1tt1,rmsd192-opt,11252.18
astex_1uou,rmsd20-opt,11860.414
astex_1vcj,rmsd115-opt,34736.19
astex_1vcj,rmsd13-opt,37266.382
astex_1vcj,rmsd158-opt,38226.692
astex_1vcj,rmsd169-opt,39011.144
astex_1vcj,rmsd176-opt,36213.407
astex_1y6b,rmsd135-opt,47065.014
astex_1y6b,rmsd175-opt,38410.127
astex_1y6b,rmsd19-opt,42340.714
astex_1y6b,rmsd212-opt,47762.843
astex_1y6b,rmsd33-opt,39573.21
astex_1y6b,rmsd36-opt,38833.26
astex_1ywr,rmsd124-opt,48396.151
astex_1ywr,rmsd129-opt,52561.336
astex_1ywr,rmsd160-opt,51155.645
astex_1ywr,rmsd169-opt,46967.705
astex_2bm2,rmsd166-opt,49115.285
astex_2bm2,rmsd183-opt,48864.101
astex_2bm2,rmsd197-opt,50476.654
astex_2bm2,rmsd200-opt,48446.257
astex_2bm2,rmsd205-opt,47501.646
omegacsd_ABXBPC,rmsd146-opt,23435.035
omegacsd_ABXBPC,rmsd170-opt,23681.561
omegacsd_ABXBPC,rmsd172-opt,23380.955
omegacsd_ABXBPC,rmsd17-opt,21956.859
omegacsd_ABXBPC,rmsd235-opt,22953.477
omegacsd_ABXBPC,rmsd42-opt,22814.658
omegacsd_ABXBPC,rmsd44-opt,21887.673
omegacsd_ABXBPC,rmsd65-opt,22465.193
omegacsd_ABXBPC,rmsd95-opt,22311.923
omegacsd_ABXBPC,rmsd9-opt,23438.345
omegacsd_AURMIN,rmsd27-opt,20617.563
omegacsd_AURMIN,rmsd31-opt,20601.8
omegacsd_AURMIN,rmsd33-opt,20724.289
omegacsd_AURMIN,rmsd34-opt,20778.43
omegacsd_AURMIN,rmsd35-opt,20748.965
omegacsd_AURMIN,rmsd37-opt,21184.705
omegacsd_AURMIN,rmsd38-opt,21844.643
omegacsd_AURMIN,rmsd39-opt,20694.969
omegacsd_AURMIN,rmsd40-opt,20661.822
omegacsd_AURMIN,rmsd4-opt,20474.102
omegacsd_BAFJEX10,rmsd106-opt,15873.67
omegacsd_BAFJEX10,rmsd109-opt,15385.662
omegacsd_BAFJEX10,rmsd115-opt,15261.358
omegacsd_BAFJEX10,rmsd178-opt,15109.676
omegacsd_BAFJEX10,rmsd189-opt,15819.732
omegacsd_BAFJEX10,rmsd18-opt,15721.827
omegacsd_BAFJEX10,rmsd227-opt,15777.959
omegacsd_BAFJEX10,rmsd229-opt,16290.033
omegacsd_BAFJEX10,rmsd37-opt,16851.371
omegacsd_BAFJEX10,rmsd92-opt,15561.054
omegacsd_BATROD,rmsd102-opt,13058.334
omegacsd_BATROD,rmsd110-opt,13163.286
omegacsd_BATROD,rmsd111-opt,13064.965
omegacsd_BATROD,rmsd138-opt,12700.433
omegacsd_BATROD,rmsd146-opt,12609.224
omegacsd_BATROD,rmsd206-opt,12629.959
omegacsd_BATROD,rmsd34-opt,12604.258
omegacsd_BATROD,rmsd64-opt,13350.907
omegacsd_BATROD,rmsd73-opt,12800.227
omegacsd_BATROD,rmsd86-opt,13458.72
omegacsd_BUSNIM,rmsd19-opt,21647.247
omegacsd_BUSNIM,rmsd20-opt,21626.339
omegacsd_BUSNIM,rmsd27-opt,20544.04
omegacsd_BUSNIM,rmsd28-opt,20467.948
omegacsd_BUSNIM,rmsd29-opt,21606.66
omegacsd_BUSNIM,rmsd31-opt,19841.096
omegacsd_BUSNIM,rmsd35-opt,19843.154
omegacsd_BUSNIM,rmsd36-opt,20587.767
omegacsd_BUSNIM,rmsd42-opt,21004.351
omegacsd_BUSNIM,rmsd6-opt,23473.53
omegacsd_CAGXEN,rmsd10-opt,15602.941
omegacsd_CAGXEN,rmsd11-opt,15401.543
omegacsd_CAGXEN,rmsd12-opt,15015.606
omegacsd_CAGXEN,rmsd13-opt,14851.759
omegacsd_CAGXEN,rmsd14-opt,14827.922
omegacsd_CAGXEN,rmsd15-opt,14916.255
omegacsd_CAGXEN,rmsd18-opt,16025.637
omegacsd_CAGXEN,rmsd36-opt,15860.655
omegacsd_CAGXEN,rmsd37-opt,15892.195
omegacsd_CAGXEN,rmsd5-opt,16074.901
omegacsd_CALLEG,rmsd129-opt,13782.958
omegacsd_CALLEG,rmsd132-opt,14043.916
omegacsd_CALLEG,rmsd139-opt,13587.901
omegacsd_CALLEG,rmsd140-opt,12920.606
omegacsd_CALLEG,rmsd161-opt,13426.671
omegacsd_CALLEG,rmsd187-opt,13447.709
omegacsd_CALLEG,rmsd18-opt,13557.831
omegacsd_CALLEG,rmsd190-opt,13849.51
omegacsd_CALLEG,rmsd197-opt,14134.488
omegacsd_CALLEG,rmsd61-opt,13787.329
omegacsd_CATXIE,rmsd118-opt,23707.554
omegacsd_CATXIE,rmsd129-opt,23216.673
omegacsd_CATXIE,rmsd168-opt,21924.03
omegacsd_CATXIE,rmsd186-opt,22666.636
omegacsd_CATXIE,rmsd213-opt,23006.939
omegacsd_CATXIE,rmsd23-opt,22656.418
omegacsd_CATXIE,rmsd47-opt,22003.59
omegacsd_CATXIE,rmsd71-opt,21970.898
omegacsd_CATXIE,rmsd80-opt,22309.988
omegacsd_CATXIE,rmsd82-opt,20855.919
omegacsd_CIXTOS,rmsd119-opt,22790.057
omegacsd_CIXTOS,rmsd137-opt,19358.056
omegacsd_CIXTOS,rmsd157-opt,21769.537
omegacsd_CIXTOS,rmsd166-opt,19169.959
omegacsd_CIXTOS,rmsd181-opt,20446.85
omegacsd_CIXTOS,rmsd187-opt,20790.624
omegacsd_CIXTOS,rmsd224-opt,21921.666
omegacsd_CIXTOS,rmsd233-opt,15685.973
omegacsd_CIXTOS,rmsd29-opt,23245.612
omegacsd_CIXTOS,rmsd78-opt,20698.422
omegacsd_CMPEPI,rmsd180-opt,14072.434
omegacsd_CMPEPI,rmsd189-opt,14257.257
omegacsd_CMPEPI,rmsd35-opt,14284.293
omegacsd_CMPEPI,rmsd42-opt,13430.606
omegacsd_CMPEPI,rmsd47-opt,13680.075
omegacsd_CMPEPI,rmsd4-opt,13805.526
omegacsd_CMPEPI,rmsd51-opt,13590.966
omegacsd_CMPEPI,rmsd91-opt,13874.736
omegacsd_CMPEPI,rmsd96-opt,13871.964
omegacsd_CMPEPI,rmsd97-opt,14464.787
omegacsd_CYCLIZ10,rmsd25-opt,28144.697
omegacsd_CYCLIZ10,rmsd27-opt,27212.375
omegacsd_CYCLIZ10,rmsd29-opt,27443.987
omegacsd_CYCLIZ10,rmsd30-opt,27456.366
omegacsd_CYCLIZ10,rmsd31-opt,26378.43
omegacsd_CYCLIZ10,rmsd34-opt,26240.726
omegacsd_CYCLIZ10,rmsd35-opt,27110.125
omegacsd_CYCLIZ10,rmsd37-opt,26956.176
omegacsd_CYCLIZ10,rmsd38-opt,25928.117
omegacsd_DIPJAN10,rmsd10-opt,19703.057
omegacsd_DIPJAN10,rmsd121-opt,19587.105
omegacsd_DIPJAN10,rmsd157-opt,21975.612
omegacsd_DIPJAN10,rmsd185-opt,20626.142
omegacsd_DIPJAN10,rmsd191-opt,20134.668
omegacsd_DIPJAN10,rmsd203-opt,22797.772
omegacsd_DIPJAN10,rmsd215-opt,19700.457
omegacsd_DIPJAN10,rmsd238-opt,24225.152
omegacsd_DIPJAN10,rmsd56-opt,22791.302
omegacsd_DIPJAN10,rmsd61-opt,20422.892
omegacsd_DIZREJ,rmsd12-opt,25445.281
omegacsd_DIZREJ,rmsd13-opt,26438.197
omegacsd_DIZREJ,rmsd16-opt,26788.426
omegacsd_DIZREJ,rmsd18-opt,24501.951
omegacsd_DIZREJ,rmsd25-opt,26228.692
omegacsd_DIZREJ,rmsd26-opt,25902.224
omegacsd_DIZREJ,rmsd27-opt,26398.233
omegacsd_DIZREJ,rmsd28-opt,26025.063
omegacsd_DIZREJ,rmsd29-opt,25503.526
omegacsd_DIZREJ,rmsd4-opt,24850.467
omegacsd_DIZWAK,rmsd104-opt,13368.365
omegacsd_DIZWAK,rmsd105-opt,13305.741
omegacsd_DIZWAK,rmsd107-opt,13404.549
omegacsd_DIZWAK,rmsd108-opt,12616.006
omegacsd_DIZWAK,rmsd113-opt,14005.272
omegacsd_DIZWAK,rmsd116-opt,13501.99
omegacsd_DIZWAK,rmsd121-opt,12157.463
omegacsd_DIZWAK,rmsd132-opt,12545.402
omegacsd_DIZWAK,rmsd133-opt,13033.888
omegacsd_DIZWAK,rmsd245-opt,13252.029
omegacsd_DUZRAR,rmsd101-opt,33008.31
omegacsd_DUZRAR,rmsd141-opt,32029.587
omegacsd_DUZRAR,rmsd154-opt,32690.921
omegacsd_DUZRAR,rmsd158-opt,32776.758
omegacsd_DUZRAR,rmsd205-opt,33677.153
omegacsd_DUZRAR,rmsd234-opt,33799.989
omegacsd_DUZRAR,rmsd250-opt,35031.955
omegacsd_FAJVAN,rmsd10-opt,12608.911
omegacsd_FAJVAN,rmsd127-opt,13665.641
omegacsd_FAJVAN,rmsd184-opt,12595.931
omegacsd_FAJVAN,rmsd217-opt,14293.51
omegacsd_FAJVAN,rmsd22-opt,12731.259
omegacsd_FAJVAN,rmsd247-opt,13246.297
omegacsd_FAJVAN,rmsd7-opt,14155.036
omegacsd_FAJVAN,rmsd80-opt,12929.474
omegacsd_FAJVAN,rmsd98-opt,15016.465
omegacsd_FAJVAN,rmsd9-opt,14763.588
omegacsd_FANRER,rmsd124-opt,47950.503
omegacsd_FANRER,rmsd129-opt,47815.12
omegacsd_FANRER,rmsd15-opt,47372.108
omegacsd_FANRER,rmsd173-opt,47009.515
omegacsd_FANRER,rmsd205-opt,46991.52
omegacsd_FEKYEZ,rmsd105-opt,17931.641
omegacsd_FEKYEZ,rmsd134-opt,18019.243
omegacsd_FEKYEZ,rmsd13-opt,16915.714
omegacsd_FEKYEZ,rmsd14-opt,17774.841
omegacsd_FEKYEZ,rmsd15-opt,17856.122
omegacsd_FEKYEZ,rmsd172-opt,17812.967
omegacsd_FEKYEZ,rmsd175-opt,17862.269
omegacsd_FEKYEZ,rmsd1-opt,18034.059
omegacsd_FEKYEZ,rmsd214-opt,17332.968
omegacsd_FEKYEZ,rmsd238-opt,17359.34
omegacsd_FEVZUB,rmsd103-opt,20293.801
omegacsd_FEVZUB,rmsd106-opt,20296.168
omegacsd_FEVZUB,rmsd139-opt,19333.385
omegacsd_FEVZUB,rmsd14-opt,21171.387
omegacsd_FEVZUB,rmsd17-opt,20682.212
omegacsd_FEVZUB,rmsd18-opt,20965.876
omegacsd_FEVZUB,rmsd24-opt,20731.964
omegacsd_FEVZUB,rmsd25-opt,20526.061
omegacsd_FEVZUB,rmsd32-opt,19832.197
omegacsd_FEVZUB,rmsd33-opt,20131.345
omegacsd_FOLYIO,rmsd112-opt,31575.048
omegacsd_FOLYIO,rmsd123-opt,30000.561
omegacsd_FOLYIO,rmsd141-opt,27925.715
omegacsd_FOLYIO,rmsd151-opt,31456.192
omegacsd_FOLYIO,rmsd173-opt,31327.551
omegacsd_FOLYIO,rmsd233-opt,31355.295
