,mol,geom,dlpno,b3lyp-svp,b3lyp-tz,b97-3c,mp2,pbe-svp,pbe,pbeh-3c,wb97x,gfn,gfn2,pm7
34,astex_1ig3,rmsd222-opt,13107.317,235.50099999999998,1131.9769999999999,186.65200000000002,1409.148,136.608,250.05,609.935,1722.4679999999998,1.5,0.83,0.039
35,astex_1ig3,rmsd242-opt,13415.308,235.074,1129.846,190.111,1404.7089999999998,122.12,249.446,604.862,1713.994,1.57,0.88,0.039
36,astex_1ig3,rmsd24-opt,12985.583999999999,235.2,1127.433,248.732,1408.749,135.243,249.532,625.729,1644.589,0.88,0.78,0.039
37,astex_1ig3,rmsd56-opt,13351.357,235.067,1104.053,183.859,1406.543,135.708,248.799,617.29,1718.622,1.2,0.79,0.035
38,astex_1j3j,rmsd12-opt,14934.546,215.69400000000002,1016.543,88.426,1218.141,116.471,258.246,254.328,1467.346,3.46,1.01,0.035
39,astex_1j3j,rmsd13-opt,14868.479,214.958,1014.745,87.98100000000001,1212.862,115.821,259.20099999999996,253.287,1464.931,0.78,1.92,0.035
40,astex_1j3j,rmsd15-opt,14771.305,213.875,1008.717,87.71,1205.156,115.405,254.74599999999998,250.8,1454.6660000000002,2.89,1.44,0.035
41,astex_1j3j,rmsd1-opt,14791.931999999999,214.084,1009.52,87.663,1203.725,115.524,255.15099999999998,251.794,1456.953,4.07,1.0,0.031
42,astex_1j3j,rmsd2-opt,15030.946000000002,216.364,1020.618,88.40700000000001,1218.802,116.729,257.817,255.299,1473.026,1.96,0.77,0.031
43,astex_1j3j,rmsd3-opt,14528.603000000001,213.986,1002.79,87.775,1208.812,115.31700000000001,254.463,251.50099999999998,1455.97,3.74,0.77,0.031
44,astex_1j3j,rmsd4-opt,14954.121000000001,215.048,1007.25,88.029,1212.991,115.72399999999999,255.287,252.61,1463.1689999999999,0.84,1.03,0.035
45,astex_1j3j,rmsd7-opt,14882.433,216.62099999999998,1015.817,88.40899999999999,1219.735,116.536,257.459,254.658,1473.293,4.12,2.98,0.031
46,astex_1j3j,rmsd8-opt,14779.176000000001,215.408,1008.419,87.98200000000001,1210.32,115.88799999999999,254.422,252.303,1463.3370000000002,2.46,0.74,0.031
47,astex_1j3j,rmsd9-opt,14736.062,215.005,1008.822,88.137,1212.126,116.109,258.70599999999996,252.331,1464.9389999999999,1.04,0.71,0.031
48,astex_1jd0,rmsd12-opt,6454.757,84.485,418.26800000000003,44.958999999999996,506.931,58.885,107.256,118.95,639.876,1.15,0.75,0.031
49,astex_1jd0,rmsd18-opt,6525.099,81.845,418.785,44.477,502.194,56.831,107.351,118.785,640.23,1.84,1.88,0.031
50,astex_1jd0,rmsd19-opt,6472.371999999999,82.03200000000001,419.191,44.55,502.276,53.66,107.428,118.764,640.289,2.05,0.61,0.027000000000000003
51,astex_1jd0,rmsd22-opt,6560.6,82.08200000000001,418.75300000000004,43.473,501.57099999999997,53.574,107.414,118.96799999999999,639.351,3.35,0.76,0.031
52,astex_1jd0,rmsd3-opt,6535.493,82.488,417.43699999999995,44.601000000000006,502.289,53.566,107.465,118.90299999999999,639.654,5.38,0.8,0.031
53,astex_1jd0,rmsd44-opt,6549.401,82.227,416.785,44.603,502.61400000000003,53.516000000000005,107.395,118.82,639.42,2.86,0.63,0.035
54,astex_1jd0,rmsd47-opt,6513.509,82.068,418.957,44.787,502.184,53.53,107.427,119.12700000000001,639.624,5.16,0.78,0.031
55,astex_1jd0,rmsd54-opt,6540.401,81.959,418.91900000000004,44.669,502.57099999999997,53.603,107.458,119.11,639.77,5.14,1.55,0.031
56,astex_1jd0,rmsd56-opt,6460.9890000000005,81.796,418.267,44.854,502.463,53.475,107.40100000000001,118.935,640.149,3.48,0.6,0.031
57,astex_1jd0,rmsd9-opt,6548.1,81.687,417.963,44.753,503.38800000000003,53.446000000000005,107.15100000000001,118.833,640.075,3.88,0.64,0.027000000000000003
58,astex_1l7f,rmsd103-opt,28054.029,502.145,2236.139,200.78400000000002,3536.491,272.909,524.813,648.775,3528.978,2.37,1.01,0.07
59,astex_1l7f,rmsd124-opt,29535.84,484.84,2182.16,191.03,2892.631,241.858,473.844,616.136,3365.2470000000003,6.56,2.32,0.059000000000000004
60,astex_1l7f,rmsd15-opt,28586.998,496.48,2211.85,211.49900000000002,2942.599,271.58799999999997,526.4630000000001,641.105,3430.902,4.67,1.86,0.062
61,astex_1l7f,rmsd171-opt,31708.337000000003,490.286,2158.865,198.232,2890.565,247.92,479.702,611.4159999999999,3502.903,1.52,2.62,0.059000000000000004
62,astex_1l7f,rmsd197-opt,31549.772999999997,503.384,2206.6079999999997,204.113,2951.8379999999997,270.251,529.754,648.464,3517.453,2.29,1.7,0.062
