mol,geom,seconds
astex_1p2y,rmsd12-opt,871.162
astex_1p2y,rmsd1-opt,808.201
astex_1p2y,rmsd3-opt,814.143
astex_1p2y,rmsd4-opt,811.704
astex_1p2y,rmsd5-opt,856.364
astex_1p2y,rmsd6-opt,857.547
astex_1p2y,rmsd7-opt,812.541
astex_1p2y,rmsd8-opt,857.443
astex_1p2y,rmsd9-opt,862.023
astex_1pmn,rmsd121-opt,6030.72
astex_1pmn,rmsd122-opt,6130.931
astex_1pmn,rmsd146-opt,6148.658
astex_1pmn,rmsd179-opt,6104.726
astex_1pmn,rmsd194-opt,6164.46
astex_1pmn,rmsd210-opt,6136.686
astex_1pmn,rmsd53-opt,6083.021
astex_1pmn,rmsd71-opt,5995.929
astex_1pmn,rmsd74-opt,5869.166
astex_1pmn,rmsd90-opt,6071.577
astex_1q1g,rmsd14-opt,2172.717
astex_1q1g,rmsd28-opt,2195.514
astex_1q1g,rmsd30-opt,2131.742
astex_1q1g,rmsd33-opt,2177.803
astex_1q1g,rmsd34-opt,2205.67
astex_1q1g,rmsd37-opt,2211.331
astex_1q1g,rmsd48-opt,2145.828
astex_1q1g,rmsd52-opt,2166.626
astex_1q1g,rmsd57-opt,2152.981
astex_1q1g,rmsd9-opt,2198.523
astex_1r1h,rmsd129-opt,4740.588
astex_1r1h,rmsd150-opt,4719.343
astex_1r1h,rmsd192-opt,4360.516
astex_1r1h,rmsd199-opt,4149.845
astex_1r1h,rmsd22-opt,4604.111
astex_1r1h,rmsd234-opt,4166.583
astex_1r1h,rmsd248-opt,4160.906
astex_1r1h,rmsd44-opt,4646.505
astex_1r1h,rmsd51-opt,4579.976
astex_1r1h,rmsd64-opt,4452.601
astex_1s3v,rmsd117-opt,4570.256
astex_1s3v,rmsd118-opt,4580.674
astex_1s3v,rmsd132-opt,4478.823
astex_1s3v,rmsd133-opt,4246.806
astex_1s3v,rmsd134-opt,4248.313
astex_1s3v,rmsd141-opt,4471.691
astex_1s3v,rmsd142-opt,4643.049
astex_1s3v,rmsd184-opt,4647.101
astex_1s3v,rmsd185-opt,4453.289
astex_1s3v,rmsd248-opt,4455.656
astex_1sj0,rmsd105-opt,6795.651
astex_1sj0,rmsd109-opt,6771.134
astex_1sj0,rmsd116-opt,6655.99
astex_1sj0,rmsd119-opt,6786.83
astex_1sj0,rmsd123-opt,6702.073
astex_1sj0,rmsd124-opt,6783.052
astex_1sj0,rmsd213-opt,6684.016
astex_1sj0,rmsd238-opt,6982.65
astex_1sj0,rmsd60-opt,6752.31
astex_1sj0,rmsd97-opt,6875.582
astex_1t46,rmsd110-opt,8713.488
astex_1t46,rmsd118-opt,8679.473
astex_1t46,rmsd12-opt,7878.439
astex_1t46,rmsd157-opt,8738.293
astex_1t46,rmsd181-opt,7846.577
astex_1t46,rmsd1-opt,8764.359
astex_1t46,rmsd211-opt,7989.395
astex_1t46,rmsd225-opt,7936.075
astex_1t46,rmsd53-opt,8711.733
astex_1t46,rmsd8-opt,8664.678
astex_1tt1,rmsd127-opt,1239.749
astex_1tt1,rmsd191-opt,1235.206
astex_1tt1,rmsd192-opt,1226.087
astex_1tt1,rmsd193-opt,1238.895
astex_1tt1,rmsd245-opt,1230.755
astex_1tt1,rmsd247-opt,1233.825
astex_1tt1,rmsd52-opt,1240.536
astex_1tt1,rmsd6-opt,1235.08
astex_1tt1,rmsd74-opt,1239.344
astex_1tt1,rmsd97-opt,1236.074
astex_1uou,rmsd13-opt,1281.865
astex_1uou,rmsd20-opt,1278.367
astex_1uou,rmsd31-opt,1278.151
astex_1uou,rmsd40-opt,1276.859
astex_1uou,rmsd46-opt,1277.061
astex_1uou,rmsd4-opt,1277.656
astex_1uou,rmsd54-opt,1285.171
