CHG_jobs/astex_1jd0/rmsd56-opt.xyz * wall-time:     0 d,  0 h,  0 min,  0.013 sec
CHG_jobs/astex_1jd0/rmsd9-opt.xyz * wall-time:     0 d,  0 h,  0 min,  0.013 sec
CHG_jobs/astex_1l7f/rmsd103-opt.xyz * wall-time:     0 d,  0 h,  0 min,  0.018 sec
CHG_jobs/astex_1l7f/rmsd124-opt.xyz * wall-time:     0 d,  0 h,  0 min,  0.013 sec
CHG_jobs/astex_1l7f/rmsd15-opt.xyz * wall-time:     0 d,  0 h,  0 min,  0.014 sec
CHG_jobs/astex_1l7f/rmsd171-opt.xyz * wall-time:     0 d,  0 h,  0 min,  0.015 sec
CHG_jobs/astex_1l7f/rmsd197-opt.xyz * wall-time:     0 d,  0 h,  0 min,  0.013 sec
CHG_jobs/astex_1l7f/rmsd215-opt.xyz * wall-time:     0 d,  0 h,  0 min,  0.014 sec
CHG_jobs/astex_1l7f/rmsd246-opt.xyz * wall-time:     0 d,  0 h,  0 min,  0.016 sec
CHG_jobs/astex_1l7f/rmsd76-opt.xyz * wall-time:     0 d,  0 h,  0 min,  0.014 sec
CHG_jobs/astex_1l7f/rmsd82-opt.xyz * wall-time:     0 d,  0 h,  0 min,  0.014 sec
CHG_jobs/astex_1l7f/rmsd97-opt.xyz * wall-time:     0 d,  0 h,  0 min,  0.014 sec
CHG_jobs/astex_1lpz/rmsd11-opt.xyz * wall-time:     0 d,  0 h,  0 min,  0.014 sec
CHG_jobs/astex_1lpz/rmsd111-opt.xyz * wall-time:     0 d,  0 h,  0 min,  0.014 sec
CHG_jobs/astex_1lpz/rmsd112-opt.xyz * wall-time:     0 d,  0 h,  0 min,  0.014 sec
CHG_jobs/astex_1lpz/rmsd119-opt.xyz * wall-time:     0 d,  0 h,  0 min,  0.015 sec
CHG_jobs/astex_1lpz/rmsd120-opt.xyz * wall-time:     0 d,  0 h,  0 min,  0.014 sec
CHG_jobs/astex_1lpz/rmsd122-opt.xyz * wall-time:     0 d,  0 h,  0 min,  0.014 sec
CHG_jobs/astex_1lpz/rmsd200-opt.xyz * wall-time:     0 d,  0 h,  0 min,  0.015 sec
CHG_jobs/astex_1lpz/rmsd204-opt.xyz * wall-time:     0 d,  0 h,  0 min,  0.014 sec
CHG_jobs/astex_1lpz/rmsd221-opt.xyz * wall-time:     0 d,  0 h,  0 min,  0.016 sec
CHG_jobs/astex_1lpz/rmsd242-opt.xyz * wall-time:     0 d,  0 h,  0 min,  0.014 sec
CHG_jobs/astex_1mmv/rmsd113-opt.xyz * wall-time:     0 d,  0 h,  0 min,  0.014 sec
CHG_jobs/astex_1mmv/rmsd137-opt.xyz * wall-time:     0 d,  0 h,  0 min,  0.013 sec
CHG_jobs/astex_1mmv/rmsd138-opt.xyz * wall-time:     0 d,  0 h,  0 min,  0.016 sec
CHG_jobs/astex_1mmv/rmsd146-opt.xyz * wall-time:     0 d,  0 h,  0 min,  0.013 sec
CHG_jobs/astex_1mmv/rmsd15-opt.xyz * wall-time:     0 d,  0 h,  0 min,  0.014 sec
CHG_jobs/astex_1mmv/rmsd172-opt.xyz * wall-time:     0 d,  0 h,  0 min,  0.013 sec
CHG_jobs/astex_1mmv/rmsd22-opt.xyz * wall-time:     0 d,  0 h,  0 min,  0.015 sec
CHG_jobs/astex_1mmv/rmsd44-opt.xyz * wall-time:     0 d,  0 h,  0 min,  0.012 sec
CHG_jobs/astex_1mmv/rmsd50-opt.xyz * wall-time:     0 d,  0 h,  0 min,  0.014 sec
CHG_jobs/astex_1mmv/rmsd91-opt.xyz * wall-time:     0 d,  0 h,  0 min,  0.013 sec
CHG_jobs/astex_1mzc/rmsd10-opt.xyz * wall-time:     0 d,  0 h,  0 min,  0.016 sec
CHG_jobs/astex_1mzc/rmsd118-opt.xyz * wall-time:     0 d,  0 h,  0 min,  0.016 sec
CHG_jobs/astex_1mzc/rmsd14-opt.xyz * wall-time:     0 d,  0 h,  0 min,  0.018 sec
CHG_jobs/astex_1mzc/rmsd145-opt.xyz * wall-time:     0 d,  0 h,  0 min,  0.015 sec
CHG_jobs/astex_1mzc/rmsd152-opt.xyz * wall-time:     0 d,  0 h,  0 min,  0.018 sec
CHG_jobs/astex_1mzc/rmsd201-opt.xyz * wall-time:     0 d,  0 h,  0 min,  0.015 sec
CHG_jobs/astex_1mzc/rmsd202-opt.xyz * wall-time:     0 d,  0 h,  0 min,  0.016 sec
CHG_jobs/astex_1mzc/rmsd22-opt.xyz * wall-time:     0 d,  0 h,  0 min,  0.019 sec
CHG_jobs/astex_1mzc/rmsd221-opt.xyz * wall-time:     0 d,  0 h,  0 min,  0.019 sec
CHG_jobs/astex_1mzc/rmsd250-opt.xyz * wall-time:     0 d,  0 h,  0 min,  0.016 sec
CHG_jobs/astex_1n1m/rmsd13-opt.xyz * wall-time:     0 d,  0 h,  0 min,  0.013 sec
CHG_jobs/astex_1n1m/rmsd20-opt.xyz * wall-time:     0 d,  0 h,  0 min,  0.013 sec
CHG_jobs/astex_1n1m/rmsd29-opt.xyz * wall-time:     0 d,  0 h,  0 min,  0.014 sec
CHG_jobs/astex_1n1m/rmsd34-opt.xyz * wall-time:     0 d,  0 h,  0 min,  0.013 sec
CHG_jobs/astex_1n1m/rmsd37-opt.xyz * wall-time:     0 d,  0 h,  0 min,  0.015 sec
CHG_jobs/astex_1n1m/rmsd38-opt.xyz * wall-time:     0 d,  0 h,  0 min,  0.012 sec
CHG_jobs/astex_1n1m/rmsd39-opt.xyz * wall-time:     0 d,  0 h,  0 min,  0.014 sec
CHG_jobs/astex_1n1m/rmsd40-opt.xyz * wall-time:     0 d,  0 h,  0 min,  0.013 sec
CHG_jobs/astex_1n1m/rmsd42-opt.xyz * wall-time:     0 d,  0 h,  0 min,  0.012 sec
CHG_jobs/astex_1n1m/rmsd5-opt.xyz * wall-time:     0 d,  0 h,  0 min,  0.015 sec
CHG_jobs/astex_1of6/rmsd100-opt.xyz * wall-time:     0 d,  0 h,  0 min,  0.017 sec
CHG_jobs/astex_1of6/rmsd102-opt.xyz * wall-time:     0 d,  0 h,  0 min,  0.013 sec
