mol,geom,seconds
astex_1p2y,rmsd6-opt,121.302
astex_1p2y,rmsd7-opt,121.145
astex_1p2y,rmsd8-opt,120.44
astex_1p2y,rmsd9-opt,120.016
astex_1pmn,rmsd121-opt,831.595
astex_1pmn,rmsd122-opt,829.431
astex_1pmn,rmsd146-opt,841.564
astex_1pmn,rmsd179-opt,836.222
astex_1pmn,rmsd194-opt,846.237
astex_1pmn,rmsd210-opt,813.936
astex_1pmn,rmsd53-opt,808.116
astex_1pmn,rmsd71-opt,827.411
astex_1pmn,rmsd74-opt,847.105
astex_1pmn,rmsd90-opt,849.41
astex_1q1g,rmsd14-opt,279.076
astex_1q1g,rmsd28-opt,273.42
astex_1q1g,rmsd30-opt,286.966
astex_1q1g,rmsd33-opt,290.085
astex_1q1g,rmsd34-opt,290.394
astex_1q1g,rmsd37-opt,274.333
astex_1q1g,rmsd48-opt,285.297
astex_1q1g,rmsd52-opt,288.591
astex_1q1g,rmsd57-opt,265.196
astex_1q1g,rmsd9-opt,291.68
astex_1r1h,rmsd129-opt,623.73
astex_1r1h,rmsd150-opt,623.525
astex_1r1h,rmsd192-opt,587.279
astex_1r1h,rmsd199-opt,619.287
astex_1r1h,rmsd22-opt,624.181
astex_1r1h,rmsd234-opt,586.565
astex_1r1h,rmsd248-opt,578.753
astex_1r1h,rmsd44-opt,609.941
astex_1r1h,rmsd51-opt,607.028
astex_1r1h,rmsd64-opt,570.097
astex_1s3v,rmsd117-opt,642.724
astex_1s3v,rmsd118-opt,639.129
astex_1s3v,rmsd132-opt,640.27
astex_1s3v,rmsd133-opt,637.755
astex_1s3v,rmsd134-opt,636.106
astex_1s3v,rmsd141-opt,635.842
astex_1s3v,rmsd142-opt,627.692
astex_1s3v,rmsd184-opt,626.17
astex_1s3v,rmsd185-opt,618.821
astex_1s3v,rmsd248-opt,615.464
astex_1sj0,rmsd105-opt,890.19
astex_1sj0,rmsd109-opt,884.612
astex_1sj0,rmsd116-opt,874.153
astex_1sj0,rmsd119-opt,888.498
astex_1sj0,rmsd123-opt,875.065
astex_1sj0,rmsd124-opt,879.634
astex_1sj0,rmsd213-opt,843.372
astex_1sj0,rmsd238-opt,916.92
astex_1sj0,rmsd60-opt,860.246
astex_1sj0,rmsd97-opt,940.788
astex_1t46,rmsd110-opt,1104.329
astex_1t46,rmsd118-opt,1100.801
astex_1t46,rmsd12-opt,1030.192
astex_1t46,rmsd157-opt,1103.449
astex_1t46,rmsd181-opt,1010.951
astex_1t46,rmsd1-opt,1063.945
astex_1t46,rmsd211-opt,1097.548
astex_1t46,rmsd225-opt,1089.254
astex_1t46,rmsd53-opt,1117.662
astex_1t46,rmsd8-opt,1149.655
astex_1tt1,rmsd127-opt,182.533
astex_1tt1,rmsd191-opt,178.471
astex_1tt1,rmsd192-opt,178.19
astex_1tt1,rmsd193-opt,178.431
astex_1tt1,rmsd245-opt,178.081
astex_1tt1,rmsd247-opt,177.846
astex_1tt1,rmsd52-opt,178.803
astex_1tt1,rmsd6-opt,178.586
astex_1tt1,rmsd74-opt,178.997
astex_1tt1,rmsd97-opt,178.251
astex_1uou,rmsd13-opt,171.18
astex_1uou,rmsd20-opt,167.458
astex_1uou,rmsd31-opt,167.18
astex_1uou,rmsd40-opt,167.033
astex_1uou,rmsd46-opt,167.188
astex_1uou,rmsd4-opt,167.64
astex_1uou,rmsd54-opt,167.758
astex_1uou,rmsd65-opt,167.007
astex_1uou,rmsd66-opt,167.294
astex_1uou,rmsd67-opt,167.06
astex_1vcj,rmsd110-opt,540.795
astex_1vcj,rmsd115-opt,525.616
astex_1vcj,rmsd13-opt,531.322
astex_1vcj,rmsd158-opt,526.744
astex_1vcj,rmsd169-opt,531.205
astex_1vcj,rmsd176-opt,527.394
astex_1vcj,rmsd182-opt,528.355
astex_1vcj,rmsd221-opt,538.995
astex_1vcj,rmsd65-opt,527.219
astex_1vcj,rmsd90-opt,526.713
astex_1y6b,rmsd135-opt,717.856
astex_1y6b,rmsd175-opt,719.447
astex_1y6b,rmsd19-opt,751.235
astex_1y6b,rmsd212-opt,780.552
astex_1y6b,rmsd33-opt,716.668
astex_1y6b,rmsd36-opt,737.837
astex_1y6b,rmsd57-opt,744.71
astex_1y6b,rmsd61-opt,762.324
astex_1y6b,rmsd78-opt,730.115
astex_1y6b,rmsd84-opt,718.849
astex_1ygc,rmsd10-opt,990.989
astex_1ygc,rmsd115-opt,899.714
astex_1ygc,rmsd117-opt,900.931
astex_1ygc,rmsd124-opt,887.783
astex_1ygc,rmsd151-opt,889.045
astex_1ygc,rmsd159-opt,945.597
astex_1ygc,rmsd203-opt,988.808
astex_1ygc,rmsd5-opt,925.819
astex_1ygc,rmsd95-opt,1000.539
astex_1ygc,rmsd97-opt,865.877
astex_1ywr,rmsd106-opt,837.958
astex_1ywr,rmsd124-opt,839.369
astex_1ywr,rmsd129-opt,838.648
astex_1ywr,rmsd160-opt,843.292
astex_1ywr,rmsd169-opt,850.154
astex_1ywr,rmsd16-opt,847.291
astex_1ywr,rmsd222-opt,900.94
astex_1ywr,rmsd32-opt,842.192
astex_1ywr,rmsd59-opt,1010.183
astex_1ywr,rmsd63-opt,892.895
astex_2bm2,rmsd166-opt,854.734
astex_2bm2,rmsd183-opt,857.245
astex_2bm2,rmsd197-opt,852.831
astex_2bm2,rmsd200-opt,849.776
astex_2bm2,rmsd205-opt,852.399
astex_2bm2,rmsd208-opt,852.349
astex_2bm2,rmsd238-opt,855.772
astex_2bm2,rmsd249-opt,854.661
astex_2bm2,rmsd71-opt,852.525
astex_2bm2,rmsd91-opt,850.826
omegacsd_ABXBPC,rmsd146-opt,362.429
omegacsd_ABXBPC,rmsd170-opt,364.952
omegacsd_ABXBPC,rmsd172-opt,363.412
omegacsd_ABXBPC,rmsd17-opt,348.986
omegacsd_ABXBPC,rmsd235-opt,352.535
omegacsd_ABXBPC,rmsd42-opt,346.371
omegacsd_ABXBPC,rmsd44-opt,345.997
omegacsd_ABXBPC,rmsd65-opt,350.666
omegacsd_ABXBPC,rmsd95-opt,346.571
omegacsd_ABXBPC,rmsd9-opt,349.664
omegacsd_AURMIN,rmsd27-opt,306.856
omegacsd_AURMIN,rmsd31-opt,288.496
omegacsd_AURMIN,rmsd33-opt,287.944
omegacsd_AURMIN,rmsd34-opt,288.046
omegacsd_AURMIN,rmsd35-opt,288.059
omegacsd_AURMIN,rmsd37-opt,287.949
omegacsd_AURMIN,rmsd38-opt,288.222
omegacsd_AURMIN,rmsd39-opt,288.767
omegacsd_AURMIN,rmsd40-opt,288.283
omegacsd_AURMIN,rmsd4-opt,287.783
omegacsd_BAFJEX10,rmsd106-opt,335.845
omegacsd_BAFJEX10,rmsd109-opt,329.664
omegacsd_BAFJEX10,rmsd115-opt,330.774
omegacsd_BAFJEX10,rmsd178-opt,330.173
omegacsd_BAFJEX10,rmsd189-opt,331.306
omegacsd_BAFJEX10,rmsd18-opt,336.374
omegacsd_BAFJEX10,rmsd227-opt,334.662
omegacsd_BAFJEX10,rmsd229-opt,330.042
omegacsd_BAFJEX10,rmsd37-opt,337.472
omegacsd_BAFJEX10,rmsd92-opt,330.663
omegacsd_BATROD,rmsd102-opt,244.17
omegacsd_BATROD,rmsd110-opt,238.874
omegacsd_BATROD,rmsd111-opt,239.443
omegacsd_BATROD,rmsd138-opt,239.932
omegacsd_BATROD,rmsd146-opt,239.33
omegacsd_BATROD,rmsd206-opt,239.139
omegacsd_BATROD,rmsd34-opt,239.773
omegacsd_BATROD,rmsd64-opt,239.226
omegacsd_BATROD,rmsd73-opt,238.891
omegacsd_BATROD,rmsd86-opt,239.855
omegacsd_BUSNIM,rmsd19-opt,325.049
omegacsd_BUSNIM,rmsd20-opt,320.717
omegacsd_BUSNIM,rmsd27-opt,319.439
omegacsd_BUSNIM,rmsd28-opt,319.044
omegacsd_BUSNIM,rmsd29-opt,320.411
omegacsd_BUSNIM,rmsd31-opt,333.47
omegacsd_BUSNIM,rmsd35-opt,332.987
omegacsd_BUSNIM,rmsd36-opt,336.175
omegacsd_BUSNIM,rmsd42-opt,338.913
omegacsd_BUSNIM,rmsd6-opt,330.387
omegacsd_CAGXEN,rmsd10-opt,195.859
omegacsd_CAGXEN,rmsd11-opt,190.156
omegacsd_CAGXEN,rmsd12-opt,190.573
omegacsd_CAGXEN,rmsd13-opt,190.731
omegacsd_CAGXEN,rmsd14-opt,190.821
omegacsd_CAGXEN,rmsd15-opt,190.771
omegacsd_CAGXEN,rmsd18-opt,189.82
omegacsd_CAGXEN,rmsd36-opt,190.419
omegacsd_CAGXEN,rmsd37-opt,190.435
omegacsd_CAGXEN,rmsd5-opt,190.482
omegacsd_CALLEG,rmsd129-opt,236.745
omegacsd_CALLEG,rmsd132-opt,230.733
omegacsd_CALLEG,rmsd139-opt,231.119
omegacsd_CALLEG,rmsd140-opt,230.878
omegacsd_CALLEG,rmsd161-opt,231.801
omegacsd_CALLEG,rmsd187-opt,231.498
omegacsd_CALLEG,rmsd18-opt,231.886
omegacsd_CALLEG,rmsd190-opt,230.805
omegacsd_CALLEG,rmsd197-opt,231.749
omegacsd_CALLEG,rmsd61-opt,231.438
omegacsd_CATXIE,rmsd118-opt,399.252
omegacsd_CATXIE,rmsd129-opt,393.54
omegacsd_CATXIE,rmsd168-opt,361.857
omegacsd_CATXIE,rmsd186-opt,394.218
omegacsd_CATXIE,rmsd213-opt,398.234
omegacsd_CATXIE,rmsd23-opt,361.34
omegacsd_CATXIE,rmsd47-opt,390.662
omegacsd_CATXIE,rmsd71-opt,394.115
omegacsd_CATXIE,rmsd80-opt,394.225
omegacsd_CATXIE,rmsd82-opt,361.445
omegacsd_CIXTOS,rmsd119-opt,377.36
omegacsd_CIXTOS,rmsd137-opt,356.603
omegacsd_CIXTOS,rmsd157-opt,380.904
omegacsd_CIXTOS,rmsd166-opt,356.089
omegacsd_CIXTOS,rmsd181-opt,367.677
omegacsd_CIXTOS,rmsd187-opt,374.39
omegacsd_CIXTOS,rmsd224-opt,374.914
omegacsd_CIXTOS,rmsd233-opt,312.671
omegacsd_CIXTOS,rmsd29-opt,385.408
omegacsd_CIXTOS,rmsd78-opt,381.109
omegacsd_CMPEPI,rmsd180-opt,241.092
