mol,geom,seconds
astex_1p2y,rmsd6-opt,70.136
astex_1p2y,rmsd7-opt,70.085
astex_1p2y,rmsd8-opt,70.135
astex_1p2y,rmsd9-opt,69.786
astex_1pmn,rmsd121-opt,294.663
astex_1pmn,rmsd122-opt,292.026
astex_1pmn,rmsd146-opt,296.845
astex_1pmn,rmsd179-opt,294.126
astex_1pmn,rmsd194-opt,297.957
astex_1pmn,rmsd210-opt,295.618
astex_1pmn,rmsd53-opt,293.881
astex_1pmn,rmsd71-opt,296.115
astex_1pmn,rmsd74-opt,288.214
astex_1pmn,rmsd90-opt,289.765
astex_1q1g,rmsd14-opt,132.048
astex_1q1g,rmsd28-opt,130.864
astex_1q1g,rmsd30-opt,125.847
astex_1q1g,rmsd33-opt,131.806
astex_1q1g,rmsd34-opt,127.973
astex_1q1g,rmsd37-opt,131.242
astex_1q1g,rmsd48-opt,126.549
astex_1q1g,rmsd52-opt,128.05
astex_1q1g,rmsd57-opt,128.138
astex_1q1g,rmsd9-opt,129.117
astex_1r1h,rmsd129-opt,225.58
astex_1r1h,rmsd150-opt,222.532
astex_1r1h,rmsd192-opt,218.223
astex_1r1h,rmsd199-opt,221.267
astex_1r1h,rmsd22-opt,222.951
astex_1r1h,rmsd234-opt,208.432
astex_1r1h,rmsd248-opt,208.03
astex_1r1h,rmsd44-opt,225.673
astex_1r1h,rmsd51-opt,222.038
astex_1r1h,rmsd64-opt,209.093
astex_1s3v,rmsd117-opt,280.782
astex_1s3v,rmsd118-opt,280.256
astex_1s3v,rmsd132-opt,280.173
astex_1s3v,rmsd133-opt,289.748
astex_1s3v,rmsd134-opt,294.363
astex_1s3v,rmsd141-opt,294.024
astex_1s3v,rmsd142-opt,292.426
astex_1s3v,rmsd184-opt,295.272
astex_1s3v,rmsd185-opt,295.049
astex_1s3v,rmsd248-opt,291.684
astex_1sj0,rmsd105-opt,383.139
astex_1sj0,rmsd109-opt,383.167
astex_1sj0,rmsd116-opt,391.457
astex_1sj0,rmsd119-opt,407.282
astex_1sj0,rmsd123-opt,400.682
astex_1sj0,rmsd124-opt,405.721
astex_1sj0,rmsd213-opt,401.042
astex_1sj0,rmsd238-opt,404.341
astex_1sj0,rmsd60-opt,398.639
astex_1sj0,rmsd97-opt,382.836
astex_1t46,rmsd110-opt,475.985
astex_1t46,rmsd118-opt,471.422
astex_1t46,rmsd12-opt,442.727
astex_1t46,rmsd157-opt,474.193
astex_1t46,rmsd181-opt,430.18
astex_1t46,rmsd1-opt,476.043
astex_1t46,rmsd211-opt,429.496
astex_1t46,rmsd225-opt,436.381
astex_1t46,rmsd53-opt,468.066
astex_1t46,rmsd8-opt,462.78
astex_1tt1,rmsd127-opt,106.118
astex_1tt1,rmsd191-opt,110.531
astex_1tt1,rmsd192-opt,110.383
astex_1tt1,rmsd193-opt,110.415
astex_1tt1,rmsd245-opt,110.305
astex_1tt1,rmsd247-opt,110.064
astex_1tt1,rmsd52-opt,109.607
astex_1tt1,rmsd6-opt,105.737
astex_1tt1,rmsd74-opt,106.061
astex_1tt1,rmsd97-opt,110.603
astex_1uou,rmsd13-opt,108.239
astex_1uou,rmsd20-opt,107.789
astex_1uou,rmsd31-opt,111.454
astex_1uou,rmsd40-opt,107.745
astex_1uou,rmsd46-opt,107.972
astex_1uou,rmsd4-opt,111.534
astex_1uou,rmsd54-opt,111.929
astex_1uou,rmsd65-opt,107.7
astex_1uou,rmsd66-opt,111.958
astex_1uou,rmsd67-opt,107.736
astex_1vcj,rmsd110-opt,257.302
astex_1vcj,rmsd115-opt,251.783
astex_1vcj,rmsd13-opt,271.909
astex_1vcj,rmsd158-opt,270.411
astex_1vcj,rmsd169-opt,271.526
astex_1vcj,rmsd176-opt,270.899
astex_1vcj,rmsd182-opt,270.248
astex_1vcj,rmsd221-opt,275.872
astex_1vcj,rmsd65-opt,251.455
astex_1vcj,rmsd90-opt,250.53
astex_1y6b,rmsd135-opt,314.822
astex_1y6b,rmsd175-opt,304.775
astex_1y6b,rmsd19-opt,306.874
astex_1y6b,rmsd212-opt,327.186
astex_1y6b,rmsd33-opt,307.255
astex_1y6b,rmsd36-opt,314.047
astex_1y6b,rmsd57-opt,310.513
astex_1y6b,rmsd61-opt,312.751
astex_1y6b,rmsd78-opt,318.595
astex_1y6b,rmsd84-opt,319.479
astex_1ygc,rmsd10-opt,421.459
astex_1ygc,rmsd115-opt,363.552
astex_1ygc,rmsd117-opt,367.84
astex_1ygc,rmsd124-opt,382.89
astex_1ygc,rmsd151-opt,380.48
astex_1ygc,rmsd159-opt,386.387
astex_1ygc,rmsd203-opt,432.308
astex_1ygc,rmsd5-opt,389.977
astex_1ygc,rmsd95-opt,437.033
astex_1ygc,rmsd97-opt,362.07
astex_1ywr,rmsd106-opt,339.251
astex_1ywr,rmsd124-opt,317.338
astex_1ywr,rmsd129-opt,340.509
astex_1ywr,rmsd160-opt,345.291
astex_1ywr,rmsd169-opt,344.178
astex_1ywr,rmsd16-opt,341.587
astex_1ywr,rmsd222-opt,354.624
astex_1ywr,rmsd32-opt,340.619
astex_1ywr,rmsd59-opt,411.059
astex_1ywr,rmsd63-opt,354.591
astex_2bm2,rmsd166-opt,378.576
astex_2bm2,rmsd183-opt,386.72
astex_2bm2,rmsd197-opt,384.425
astex_2bm2,rmsd200-opt,382.876
astex_2bm2,rmsd205-opt,386.181
astex_2bm2,rmsd208-opt,372.67
astex_2bm2,rmsd238-opt,384.318
astex_2bm2,rmsd249-opt,376.533
astex_2bm2,rmsd71-opt,382.066
astex_2bm2,rmsd91-opt,384.109
omegacsd_ABXBPC,rmsd146-opt,189.009
omegacsd_ABXBPC,rmsd170-opt,185.542
omegacsd_ABXBPC,rmsd172-opt,196.852
omegacsd_ABXBPC,rmsd17-opt,177.525
omegacsd_ABXBPC,rmsd235-opt,189.795
omegacsd_ABXBPC,rmsd42-opt,176.717
omegacsd_ABXBPC,rmsd44-opt,171.473
omegacsd_ABXBPC,rmsd65-opt,178.812
omegacsd_ABXBPC,rmsd95-opt,175.802
omegacsd_ABXBPC,rmsd9-opt,188.855
omegacsd_AURMIN,rmsd27-opt,140.05
omegacsd_AURMIN,rmsd31-opt,136.983
omegacsd_AURMIN,rmsd33-opt,138.009
omegacsd_AURMIN,rmsd34-opt,137.628
omegacsd_AURMIN,rmsd35-opt,123.936
omegacsd_AURMIN,rmsd37-opt,137.787
omegacsd_AURMIN,rmsd38-opt,138.427
omegacsd_AURMIN,rmsd39-opt,132.92
omegacsd_AURMIN,rmsd40-opt,124.075
omegacsd_AURMIN,rmsd4-opt,138.219
omegacsd_BAFJEX10,rmsd106-opt,151.778
omegacsd_BAFJEX10,rmsd109-opt,138.947
omegacsd_BAFJEX10,rmsd115-opt,140.543
omegacsd_BAFJEX10,rmsd178-opt,140.303
omegacsd_BAFJEX10,rmsd189-opt,150.012
omegacsd_BAFJEX10,rmsd18-opt,152.885
omegacsd_BAFJEX10,rmsd227-opt,154.079
omegacsd_BAFJEX10,rmsd229-opt,139.516
omegacsd_BAFJEX10,rmsd37-opt,152.784
omegacsd_BAFJEX10,rmsd92-opt,149.783
omegacsd_BATROD,rmsd102-opt,113.096
omegacsd_BATROD,rmsd110-opt,107.266
omegacsd_BATROD,rmsd111-opt,107.282
