name, len, mare, rsq, spearman, slope, intercept
astex_1g9v,44,0.448170101886,0.852357601451,0.721212121212,1.09794902858,224708.773614
astex_1gkc,50,1.76686293259,0.827716123003,0.878787878788,0.793706680065,568119.414354
astex_1gm8,32,5.58852005909,0.974638216581,0.636363636364,0.152181083259,68504.3393175
astex_1hnn,24,0.512991602378,0.634914867946,0.690476190476,0.390566532218,177479.717905
astex_1hp0,32,0.512611956039,0.94233927612,0.733333333333,0.75911424738,735820.995785
astex_1hq2,32,0.226252574779,0.594576122106,0.060790554368,0.944456396751,1177878.25411
astex_1hvy,34,1.31390682976,0.851811716439,0.745454545455,0.786400266187,715504.604806
astex_1hwi,44,1.82254766741,0.455640630392,0.624242424242,0.473848848009,94940.2900386
astex_1ia1,32,0.337118548506,0.450125866857,0.729486652416,0.329416703573,327144.590519
astex_1ig3,34,0.220851756033,0.41079159255,0.29696969697,0.389674836402,381133.289859
astex_1j3j,30,0.145840164886,0.121205964758,0.455438516624,0.117099808928,118771.195998
astex_1jd0,36,0.0260946533438,0.94223150763,0.804893011981,1.17329837196,1065445.96185
astex_1jje,40,0.608039281233,0.810775395559,0.866666666667,0.407866443759,-26026.755996
astex_1jla,50,0.232873895059,0.97330964833,0.914179247518,1.4307898712,672532.201229
astex_1k3u,36,0.825729630365,0.436324241778,0.624242424242,0.486622481698,220313.755879
astex_1ke5,42,0.233082102478,0.365202764472,0.463423249323,0.25651502602,181894.052477
astex_1kzk,48,2.24207557288,0.0277131211035,0.381818181818,0.160359634239,117488.723538
astex_1l2s,40,0.426879693771,0.986439524981,0.963636363636,0.695832217883,67029.2727246
astex_1l7f,34,2.92887685677,0.947178345564,0.866666666667,0.422068975098,412931.96319
astex_1lpz,36,0.120702237941,0.425462532154,0.842424242424,0.240719327384,230248.438112
astex_1lrh,40,0.0696594692979,0.000675008300561,-0.0243906973328,-0.0295553766605,4985.0365092
astex_1m2z,42,0.738613903205,0.354878270489,0.442424242424,2.05040778407,-166863.4911
astex_1meh,46,1.16563418137,0.312555619989,0.648484848485,0.25896296533,-14064.8535176
astex_1mmv,38,0.571434220718,0.0439021637863,0.218845995725,0.326888629597,327670.856946
astex_1mzc,36,2.08870309475,0.785649278771,0.818181818182,0.562372992879,706935.822516
astex_1n1m,30,0.451019239802,0.953919125499,0.806060606061,0.558125991527,279137.013844
astex_1n2j,34,0.774546165308,0.163868606842,0.449850102323,0.126801522845,-3430.45897752
astex_1n2v,32,0.105984453505,0.777748359844,0.920748824312,0.975654818378,968725.80165
astex_1n46,36,0.223808414916,0.607723395678,0.43769199145,0.676889903118,485870.055265
astex_1nav,46,0.199086168484,0.708531238131,0.818181818182,0.751940893581,-93969.441141
astex_1of1,34,1.03365152961,0.77143043826,0.733333333333,1.08403636801,497132.869139
astex_1of6,34,0.263121036171,0.330658859866,0.466666666667,1.62377618058,349960.179643
astex_1opk,40,0.187498830418,0.490145120972,0.818181818182,0.671750552774,617766.159178
astex_1oq5,24,4.11672066063,0.991087969426,0.595238095238,0.5230687831,346930.421185
astex_1owe,32,0.0809616494932,0.965444506359,0.948332648141,1.13515915208,852482.40484
astex_1oyt,50,0.176536314313,0.809597047416,0.830303030303,0.999730135839,978173.365748
astex_1p2y,30,0.541339217599,0.855808218601,0.733333333333,0.416437937166,214379.090854
