method1, method2, mean mare, median mare, sem mare, std mare, low ci mare, high ci mare, mean rsq, med rsq, sem rsq, std rsq, low ci rsq, high ci rsq, mean spearman, med spearman, sem spearman, std spearman, low ci spearman, high ci spearman
dlpno,wb97,0.34855818678946116,0.18627492501418602,0.016895926167480903,0.4438196723099444,0.014380384584410433,0.02192189787151619,0.7800098529667726,0.8811278829346552,0.009649985257833721,0.25348437561065107,0.018876158473067006,0.020190185164942864,0.8011264182031186,0.8909090909090909,0.008903838548264154,0.2338847049649736,0.018181818181818077,0.0121212121212122
dlpno,pbe,0.6414129104402576,0.2994700894327025,0.033007719183171656,0.868297524911353,0.0401005160262457,0.05105376673812312,0.6417041375060097,0.7462286387249016,0.01197610370842821,0.31504210122496223,0.03971938305010336,0.04217817584999228,0.6582597777402972,0.806060606060606,0.014156572835497755,0.37240128850093024,0.036363636363636376,0.024242424242424288
dlpno,pbeSVP,0.6262079098814398,0.3315474766429361,0.030005600697796734,0.7893241176342257,0.04632527153328969,0.04184883275120227,0.6445805143520315,0.7509624643771048,0.011735695470485077,0.3087179478711386,0.049203737522668045,0.03655334916532649,0.674002807770895,0.806060606060606,0.013052105055502847,0.3433472773954659,0.036363636363636376,0.024242424242424288
dlpno,b3lypTZ,0.7558992153495205,0.3017773953051801,0.04183900789281262,1.1006124596635942,0.04022744443909687,0.06939463910603083,0.6172295317773477,0.7060397977677888,0.012245805536695525,0.3221368486278051,0.04833777091301772,0.05163166044575673,0.6250326393183536,0.7818181818181819,0.015034851805841342,0.3955052010099723,0.036363636363636376,0.024242424242424176
dlpno,b3lypSVP,0.6956413215049339,0.3087051552480261,0.03671210937995526,0.9657448165985945,0.0397167081277075,0.07060333688991821,0.6280013450866745,0.7312907429032711,0.01212999928323914,0.3190904617300185,0.058047416902384574,0.03105767852189012,0.6449120143925339,0.7818181818181819,0.014390220892480241,0.3785476092585811,0.024242424242424288,0.024242424242424176
